City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
643,Conde,BR,87.8,few clouds,-7.26,-34.91,Pousada Beija Flor
644,Oranjestad,AW,86.0,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
646,Touros,BR,86.0,scattered clouds,-5.2,-35.46,INN NEW HORIZON
649,Puerto Escondido,MX,86.0,few clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
650,Somanda,TZ,86.09,broken clouds,-3.37,33.95,
654,Correia Pinto,BR,76.42,light rain,-27.58,-50.36,Estância Zéca Wiggers
655,Ormara,PK,80.46,clear sky,25.21,64.64,
657,Alta Floresta,BR,85.68,overcast clouds,-9.88,-56.09,Floresta Amazonica Hotel
662,Tunggol,PH,77.52,overcast clouds,5.84,121.15,
663,Valdez,EC,79.05,broken clouds,1.25,-78.98,hotel Stefany
665,Micheweni,TZ,79.79,scattered clouds,-4.97,39.83,
667,Manggar,ID,79.92,broken clouds,-2.88,108.27,Guest Hotel
668,Guamuchil,MX,87.01,clear sky,25.47,-108.1,Hotel Heredia
673,Coahuayana,MX,82.4,clear sky,18.73,-103.68,Hotel Los Arcos
674,Gohand,IN,80.1,clear sky,25.7,79.55,Krishan Kant New Pulaw&Chhole Bhatole
675,Mmabatho,ZA,85.46,broken clouds,-25.85,25.63,Mahikeng Guest Apartments
676,Zaraza,VE,84.51,moderate rain,9.35,-65.32,Hotel Zaraza
678,Niquero,CU,80.62,light rain,20.04,-77.58,
679,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
681,Wajir,KE,85.84,light rain,1.75,40.06,Al- Amin lodge
682,Waingapu,ID,80.65,few clouds,-9.66,120.26,Pondok Wisata Elim
685,Jimeta,NG,87.87,overcast clouds,9.28,12.47,Yola International Hotel
688,Moyamba,SL,83.71,light rain,8.17,-12.43,Yoyema Guest House
689,Siraha,NP,75.33,clear sky,26.65,86.21,Prashant Yadav Home
