City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Ginir,ET,2020-10-22 23:15:34,7.13,40.7,56.98,79,79,5.59
70,Keshorai Patan,IN,2020-10-22 23:15:34,25.3,75.93,74.62,54,0,1.19
71,Cururupu,BR,2020-10-22 23:11:58,-1.83,-44.87,76.53,92,42,3.74
72,Chokurdakh,RU,2020-10-22 23:15:34,70.63,147.92,2.7,92,77,9.95
73,Ibra,OM,2020-10-22 23:15:34,22.69,58.53,64.15,39,0,4.12
74,Lorengau,PG,2020-10-22 23:15:35,-2.02,147.27,83.62,73,2,9.62
75,Bethel,US,2020-10-22 23:15:35,41.37,-73.41,66.2,88,75,6.93
76,Nicoya,CR,2020-10-22 23:15:02,10.15,-85.45,78.8,94,75,5.82
77,Timra,SE,2020-10-22 23:15:35,62.49,17.33,33.8,86,100,3.36
78,Kolondieba,ML,2020-10-22 23:15:35,11.09,-6.89,82.45,50,95,3.51
79,Luderitz,NA,2020-10-22 23:15:35,-26.65,15.16,59.14,81,0,8.43
80,Avarua,CK,2020-10-22 23:15:35,-21.21,-159.78,78.8,83,99,13.87
81,Saint Anthony,US,2020-10-22 23:15:35,45.02,-93.22,35.6,86,90,10.29
82,Kudahuvadhoo,MV,2020-10-22 23:15:36,2.67,72.89,81.39,81,93,14.58
83,Fortuna,US,2020-10-22 23:15:36,40.6,-124.16,62.01,41,1,12.75
84,Shimoda,JP,2020-10-22 23:15:36,34.67,138.95,60.01,93,100,6.08
85,Los Alamos,US,2020-10-22 23:15:37,35.89,-106.31,69.8,10,1,16.11
86,Lompoc,US,2020-10-22 23:15:37,34.64,-120.46,68.0,68,40,9.17
87,Careiro Da Varzea,BR,2020-10-22 23:15:37,-3.2,-59.81,87.8,70,75,6.93
88,Jamestown,US,2020-10-22 23:12:00,42.1,-79.24,69.8,73,20,3.2
89,Beira,MZ,2020-10-22 23:15:37,-19.84,34.84,77.0,73,20,11.41
90,Sitka,US,2020-10-22 23:12:33,57.05,-135.33,39.2,38,75,11.41
91,Pisco,PE,2020-10-22 23:15:37,-13.7,-76.22,64.4,77,0,23.04
92,Ormara,PK,2020-10-22 23:15:37,25.21,64.64,78.33,29,0,10.6
93,Abu Samrah,SY,2020-10-22 23:15:38,35.3,37.18,60.17,60,0,1.61
94,Ribeira Grande,PT,2020-10-22 23:15:38,38.52,-28.7,65.1,69,19,8.28
95,Enumclaw,US,2020-10-22 23:15:38,47.2,-121.99,54.0,61,14,3.67
96,Nikolskoye,RU,2020-10-22 23:15:38,59.7,30.79,51.8,93,90,8.95
97,Surgut,RU,2020-10-22 23:15:39,61.25,73.42,23.0,100,75,6.71
98,Pastos Bons,BR,2020-10-22 23:11:07,-6.6,-44.08,85.75,37,39,4.36
99,Boshnyakovo,RU,2020-10-22 23:15:39,49.63,142.17,49.39,84,100,5.3
100,Tuktoyaktuk,CA,2020-10-22 23:15:39,69.45,-133.04,24.8,100,90,21.92
101,Maryborough,AU,2020-10-22 23:15:39,-25.53,152.7,78.93,55,25,6.78
102,Mastic Beach,US,2020-10-22 23:15:40,40.77,-72.85,64.99,88,75,3.36
103,Saint-Augustin,CA,2020-10-22 23:15:40,51.23,-58.65,38.61,75,52,19.26
104,Rodrigues Alves,BR,2020-10-22 23:15:40,-7.74,-72.65,79.14,71,39,2.75
105,Pevek,RU,2020-10-22 23:15:40,69.7,170.31,29.55,96,0,16.22
106,Galveston,US,2020-10-22 23:15:40,29.37,-94.97,81.0,78,40,14.99
107,Merrill,US,2020-10-22 23:15:40,45.18,-89.68,34.0,100,90,8.05
108,Puerto Ayora,EC,2020-10-22 23:15:41,-0.74,-90.35,68.0,93,79,5.99
109,Hithadhoo,MV,2020-10-22 23:15:41,-0.6,73.08,83.16,75,10,14.36
110,Pekan,MY,2020-10-22 23:15:41,3.48,103.4,77.0,94,20,1.12
111,Lavrentiya,RU,2020-10-22 23:15:41,65.58,-171.0,37.45,80,0,8.63
112,Kolo,PL,2020-10-22 23:15:41,52.2,18.64,53.01,89,100,1.01
113,Havelock,US,2020-10-22 23:15:42,34.88,-76.9,73.4,78,75,9.17
